,Year,Continent,Disaster Type,Number of Disasters,Difference from Previous Year,% Difference from Previous Year
373,1991,Asia,Drought,4,1.0,33.33333333333333
374,1991,Asia,Flood,41,19.0,86.36363636363636
375,1991,Asia,Landslide,3,-2.0,-40.0
376,1991,Asia,Storm,35,16.0,84.21052631578947
377,1991,Asia,Wildfire,1,-3.0,-75.0
378,1991,Europe,Drought,1,-3.0,-75.0
379,1991,Europe,Flood,5,-36.0,-87.8048780487805
380,1991,Europe,Storm,5,-30.0,-85.71428571428571
381,1991,Europe,Wildfire,2,1.0,100.0
382,1991,Oceania,Drought,1,0.0,0.0
383,1991,Oceania,Flood,3,-2.0,-40.0
384,1991,Oceania,Landslide,1,-2.0,-66.66666666666666
385,1991,Oceania,Storm,4,-1.0,-20.0
386,1992,Africa,Drought,2,1.0,100.0
387,1992,Africa,Flood,1,-2.0,-66.66666666666666
388,1992,Americas,Drought,2,0.0,0.0
389,1992,Americas,Flood,16,15.0,1500.0
390,1992,Americas,Landslide,2,1.0,100.0
391,1992,Americas,Storm,32,28.0,700.0
392,1992,Americas,Wildfire,5,3.0,150.0
393,1992,Asia,Drought,2,0.0,0.0
394,1992,Asia,Flood,33,17.0,106.25
395,1992,Asia,Landslide,5,3.0,150.0
396,1992,Asia,Storm,31,-1.0,-3.125
397,1992,Asia,Wildfire,1,-4.0,-80.0
398,1992,Europe,Drought,3,1.0,50.0
399,1992,Europe,Flood,8,-25.0,-75.75757575757575
400,1992,Europe,Landslide,1,-4.0,-80.0
401,1992,Europe,Storm,4,-27.0,-87.09677419354838
402,1992,Europe,Wildfire,2,1.0,100.0
403,1992,Oceania,Drought,2,-1.0,-33.33333333333333
404,1992,Oceania,Flood,1,-7.0,-87.5
405,1992,Oceania,Storm,9,5.0,125.0
406,1993,Africa,Drought,3,1.0,50.0
407,1993,Africa,Flood,10,9.0,900.0
408,1993,Africa,Landslide,1,0.0,0.0
409,1993,Africa,Storm,4,-5.0,-55.55555555555556
410,1993,Americas,Drought,2,-1.0,-33.33333333333333
411,1993,Americas,Flood,25,15.0,150.0
412,1993,Americas,Landslide,6,5.0,500.0
413,1993,Americas,Storm,32,28.0,700.0
414,1993,Americas,Wildfire,2,0.0,0.0
415,1993,Asia,Drought,2,0.0,0.0
416,1993,Asia,Flood,33,8.0,32.0
417,1993,Asia,Landslide,15,9.0,150.0
