,Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Change in gdp per capita
59,Fiji,2056.073,"2062,163","1941,771","1781,084","1828,856","1744,388","1954,085","1776,896","1672,492","1747,117","1959,194","2012,454","2208,958","2339,817","2590,933","2775,116","2975,914","2905,473","2282,246","2656,26","2286,992","2238,548","2467,527","3079,607","3601,622","3943,27","4041,487","4405,164","4535,432","3673,958","4004,674","4797,051","5017,72","5268,164","5611,185","5385,516","5620,575","6049,889","6272,733","6126,636","4976,203","4748,91","5341,288",5868.383,3812.31
60,Finland,11257.795,"10990,447","11036,936","10545,058","10889,934","11488,754","14998,341","18632,076","22122,56","24040,639","28489,569","25646,579","22496,237","17661,586","20429,387","26347,514","25833,03","24759,979","26074,066","26241,797","24379,783","25001,18","27008,262","32961,92","37816,081","39147,216","41308,623","48590,198","53897,91","47541,746","46647,002","51263,574","47850,555","50006,019","50434,791","42867,09","43865,756","46437,211","50032,02","48667,723","49157,627","53774,197","50818,382",51177.006,39919.211
61,France,13069.505,"11456,04","10822,037","10292,761","9697,432","10108,561","13947,316","16793,955","18240,997","18236,767","22490,289","22406,387","24590,746","23082,715","24262,184","27741,294","27720,861","25028,466","25818,37","25550,782","23212,45","23245,258","25137,402","30682,636","35016,219","36057,117","37795,916","43060,031","47155,211","43190,972","42178,577","45419,973","42372,071","44144,617","44616,455","37937,861","38348,507","40134,128","43060,59","41924,837","40377,526","45187,772","42330,451",42646.028,29576.523
62,Gabon,6093.615,"5376,616","4930,527","4619,015","4346,388","4478,468","5735,355","4245,955","4581,144","4899,234","6815,634","5993,32","6015,511","5677,618","4293,942","4956,842","5552,917","5068,093","4161,617","4222,734","4477,321","4065,933","4210,284","5015,596","5837,617","6942,698","7271,093","8652,145","10418,276","7856,853","8933,306","10893,464","9903,41","9760,747","9746,786","7453,114","7082,218","7370,349","8220,504","8111,34","7277,369","9482,513","10281,775",9849.729,3756.1139999999996
63,"Gambia, The",1007.791,"907,551","827,984","800,7","552,842","645,904","484,263","623,605","695,347","701,786","790,827","801,579","830,589","840,415","804,334","815,289","826,192","818,814","815,332","811,257","766,199","737,063","631,566","581,319","642,755","665,721","662,362","780,379","924,514","833,282","860,639","762,761","742,78","700,515","607,429","649,511","683,998","676,656","729,035","768,921","747,886","816,38","846,171",882.469,-125.322
65,Germany,11109.741,"9329,591","9014,978","9025,206","8537,765","8678,853","12387,01","15411,529","16514,654","16232,121","20249,138","23453,063","26538,043","25602,961","27233,549","31829,61","30664,299","27170,747","27528,158","26984,243","23924,876","23869,773","25460,334","30668,849","34534,814","35020,197","36894,468","42299,862","46367,859","42338,713","42379,71","46697,376","43883,393","46299,371","48035,802","41107,222","42124,196","44636,833","47961,036","46798,83","46735,314","51237,643","48397,797",49430.056,38320.314999999995
66,Ghana,3489.497,"5537,473","6271,521","4114,248","1391,717","1213,391","1094,395","895,18","930,23","924,067","1045,595","1142,797","1102,843","881,079","793,796","918,741","950,015","945,584","1002,604","1012,277","606,501","630,698","714,42","860,469","973,287","1151,305","1320,283","1520,642","1688,077","1477,649","1757,045","2131,746","2197,908","2405,768","2003,714","1784,248","1982,239","2086,598","2275,772","2265,715","2274,572","2521,387","2368,814",2130.131,-1359.366
67,Greece,5898.163,"5376,978","5576,511","5008,015","4854,243","4791,75","5623,163","6522,421","7568,289","7812,784","9597,714","10196,17","11139,445","10363,63","11029,098","12887,889","13660,507","13370,349","13412,55","13784,361","12164,719","12473,285","14065,791","18378,281","21829,501","22417,643","24648,873","28656,233","31902,014","29577,642","26743,4","25437,01","21845,045","21712,016","21554,224","18023,869","17906,08","18552,181","19750,743","19130,444","17603,435","20263,285","20875,779",21371.686,15473.523000000001
68,Grenada,1245.62,"1276,37","1346,874","1372,669","1477,916","1678,085","1872,462","2162,546","2408,732","2757,871","2887,011","3117,904","3192,22","3153,808","3272,547","3411,983","3632,676","3861,381","4370,62","4705,807","5056,978","5041,015","5213,797","5682,707","5741,653","6644,217","6658,218","7213,002","7832,366","7290,821","7258,182","7291,739","7444,082","7789,618","8370,031","9096,535","9628,26","10152,834","10466,805","10834,496","9273,2","9856,433","10476,518",11155.907,9910.287
69,Guatemala,1070.284,"1140,215","1126,186","1139,957","1163,059","1338,718","705,755","796,957","841,769","946,757","808,879","966,003","1045,432",1110,"1228,967","1348,884","1408,233","1559,644","1656,359","1527,239","1555,638","1654,953","1795,772","1847,291","1951,798","2151,742","2336,955","2556,76","2873,086","2654,1","2836,06","3172,124","3267,792","3397,625","3632,101","3825,882","3982,02","4233,007","4247,463","4379,802","4318,636","4687,768","4879,866",5006.655,3936.3709999999996
