,Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Change in gdp per capita
163,Spain,6128.024,"5381,909","5171,535","4501,838","4471,654","4694,759","6477,301","8187,29","9598,667","10566,133","13693,638","14697,501","16013,155","13409,697","13419,62","15475,607","16095,75","14782,949","15457,11","15814,188","14761,108","15400,911","17097,916","21501,074","24932,129","26438,031","28414,133","32588,562","35484,39","32131,382","30566,877","31676,69","28344,776","29084,958","29524,755","25764,215","26535,546","28196,759","30423,167","29576,25","27039,18","30089,517","29198,086",29729.167,23601.143
165,Sudan,486.908,"339,389","239,807","318,513","375,019","253,184","328,588","516,781","404,705","696,391","87,197","95,292","113,476","186,506","205,922","239,507","292,909","350,723","366,582","352,442","422,316","492,676","554,652","635,575","772,939","996,677","1249,767","1599,596","1700,513","1401,244","1637,419","2034,461","1396,292","1462,582","1628,497","1679,025","1638,638","1199,177","796,298","776,549","775,258","772,34","916,033",929.402,442.494
167,Sweden,16877.243,"15396,745","13576,621","12470,948","12976,142","13549,507","17852,72","21629,289","24339,27","25412,176","30253,863","31490,221","32584,883","24351,052","25978,285","30246,923","32986,123","30307,156","30585,081","30928,571","29589,141","27207,49","29846,186","37249,257","42736,876","43349,851","46425,841","53496,534","55929,862","46734,909","52658,794","60540,218","57816,023","60845,007","59704,814","51274,278","51590,473","53459,072","54295,731","51694,498","52706,294","60815,535","56361,425",60473.031,43595.788
168,Switzerland,19426.638,"17699,844","18027,725","17865,396","17019,366","17187,864","24529,567","30520,621","32794,286","31440,365","39842,782","39811,005","40883,18","39375,507","43226,544","50287,785","48171,684","41623,116","42719,725","41765,236","38970,184","39832,203","42656,564","49512,213","54782,269","56379,113","59212,284","65364,922","74664,614","71886,617","76830,127","90936,62","86280,525","87873,415","89270,321","84229,414","82570,749","82576,399","85547,814","84476,471","85870,059","92248,643","92434,492",94834.644,75408.006
170,São Tomé and Príncipe,775.709,"931,011","876,128","800,45","812,985","837,601","1142,825","1111,67","922,926","892,384","1050,252","920,765","788,501","1033,02","1058,931","820,593","1050,097","700,969","541,273","568,499","550,516","505,213","552,891","647,954","692,685","809,407","839,546","885,101","1125,875","1098,369","1128,309","1302,775","1380,112","1619,708","1826,92","1623,805","1737,727","1842,326","1988,722","2021,926","2189,676","2322,081","2230,662",2301.979,1526.27
171,Taiwan Province of China,2366.797,"2691,494","2675,311","2881,66","3202,615","3293,869","4008,134","5325,173","6338,1","7575,906","8167,2","9081,901","10715,536","11256,711","12099,746","13066,128","13588,306","13948,722","12767,078","13752,716","14844,238","13357,195","13651,355","14040,597","15290,307","16427,459","16892,883","17723,704","18053,591","16904,543","19181,358","20838,589","21256,361","21945,46","22844,316","22752,991","23070,733","25061,624","25825,566","25903,168","28404,717","33143,011","35513,192",36833.887,34467.090000000004
173,Tanzania,602.924,"699,181","778,244","772,741","682,028","596,872","732,197","350,129","324,721","271,496","211,031","237,573","213,148","190,679","195,663","221,366","266,49","307,987","370,188","370,918","380,08","377,469","382,354","401,069","428,927","459,757","491,056","551,781","683,137","693,025","732,315","768,16","867,857","970,348","1030,74","947,897","966,29","1002,869","1036,93","1079,684","1110,372","1177,123","1245,04",1340.823,737.8990000000001
174,Thailand,705.484,"744,913","767,41","824,445","845,08","772,393","840,315","967,712","1160,538","1338,257","1564,175","1769,043","1999,204","2209,362","2491,433","2846,59","3043,982","2468,182","1845,829","2031,165","2003,605","1890,25","2094,257","2356,968","2657,909","2890,482","3366,815","3973,994","4373,451","4208,355","5073,705","5493,743","5862,993","6168,708","5952,377","5837,807","5995,205","6596,224","7295,952","7813,605","7159,743","7232,256","7630,871",8273.93,7568.446
176,Togo,732.897,"588,837","478,885","439,532","388,995","393,789","533,68","607,02","655,62","625,669","734,496","709,219","728,16","543,292","411,811","530,121","563,017","555,862","509,651","495,79","409,01","395,011","442,767","535,374","557,462","548,802","550,519","606,782","736,985","728,528","721,037","791,925","771,891","838,357","864,996","770,358","802,935","830,452","901,932","893,161","915,625","993,009","960,833",1007.971,275.07399999999996
177,Tonga,770.303,"850,554","843,209","818,461","854,275","802,926","959,286","1037,126","1213,22","1461,359","1498,504","1750,858","1832,835","1884,492","1948,137","2123,283","2228,293","2263,661","2153,245","1994,282","2045,81","1818,184","1828,634","2015,247","2288,897","2587,295","2876,124","2925,938","3367,714","3046,764","3569,101","4014,77","4557,282","4386,109","4303,818","4298,224","4178,289","4577,005","4785,144","5095,614","4891,951","4701,208","5008,125",5367.236,4596.933
178,Trinidad and Tobago,5847.707,"6454,418","7393,152","6939,437","6831,216","6411,214","4121,173","4085,591","3798,754","3625,717","4221,813","4392,869","4474,142","3743,583","4027,423","4322,255","4658,874","4632,813","4872,619","5478,856","6545,953","7046,379","7162,514","8931,032","10442,168","12471,953","14280,042","16818,278","21479,282","14809,02","16957,433","19300,833","19171,211","20162,733","20290,52","18383,539","16247,176","16747,907","17139,186","17123,116","15285,94","17055,668","20746,296",20641.739,14794.032000000001
179,Tunisia,1482.823,"1390,414","1309,899","1322,84","1286,6","1271,845","1312,226","1382,408","1411,506","1386,015","1716,723","1769,744","2070,007","1903,681",1997,"2261,968","2411,883","2318,983","2407,491","2505,878","2322,277","2365,245","2460,779","2897,197","3265,224","3350,785","3536,507","3963,791","4519,745","4333,153","4343,057","4471,694","4345,815","4419,705","4511,282","4060,695","3890,127","3656,508","3661,194","3545,073","3571,833","3897,45","3815,82",3761.674,2278.8509999999997
182,"Türkiye, Republic of",2133.685,"2113,068","1876,637","1753,332","1668,464","1835,181","1983,05","2260,66","2333,225","2707,896","3738,161","3691,37","3818,769","4261,644","3026,717","3880,859","4099,228","4221,923","4384,471","4020,272","4237,961","3082,899","3617,23","4684,698","6015,665","7350,887","7961,078","9640,571","10778,131","8941,404","10533,45","11221,402","11637,915","12488,968","12079,287","10973,586","10891,19","10628,898","9507,996","9132,945","8612,31","9654,085","9961,067",10863.043,8729.358
183,Uganda,664.574,"1044,13","703,042","779,82","581,032","514,181","494,509","768,935","767,651","599,952","472,193","238,48","216,036","247,107","346,255","401,893","401,413","423,918","402,455","370,515","355,466","347,812","361,953","361,772","430,758","483,032","527,739","634,361","784,496","815,808","808,713","872,039","950,56","964,833","960,698","779,047","809,498","833,537","880,467","955,694","910,16","1011,754","1105,59",1163.192,498.61800000000005
185,United Arab Emirates,40014.582,"40910,917","35767,654","31690,067","29017,094","27035,998","20533,019","21644,071","18435,195","20478,526","26621,511","25847,406","25960,965","25654,369","25762,53","26394,423","29058,859","29534,543","25897,653","27321,043","34688,979","32621,292","32790,711","35017,312","39304,507","43984,093","44313,551","41472,246","39074,713","30920,425","35065,935","41775,701","43932,903","45040,067","45817,068","40064,448","39144,669","41443,891","45075,57","43900,15","36284,561","41205,208","47792,94",48262.967,8248.384999999995
186,United Kingdom,10715.447,"10420,405","9918,949","9448,727","8938,749","9488,14","11549,723","14314,956","17398,174","17667,939","20884,233","21767,13","22438,034","20055,812","21499,589","23208,739","24464,779","26749,945","28277,881","28733,206","28279,663","27816,748","30099,602","34524,996","40415,48","42171,202","44731,564","50675,532","48038,966","39101,208","39731,624","42281,87","42691,188","43757,447","47816,045","45418,935","41630,457","40903,517","43718,965","43121,056","41127,443","47328,778","47317,565",51286.062,40570.615
187,United States,12552.943,"13948,701","14404,994","15513,679","17086,441","18199,32","19034,766","20000,968","21375,999","22814,077","23847,977","24302,776","25392,931","26364,192","27674,021","28671,48","29946,973","31440,087","32833,666","34496,241","36312,782","37101,453","37945,761","39405,354","41641,617","44034,256","46216,853","47943,353","48470,553","47102,428","48586,288","50008,108","51736,738","53245,516","55083,507","56729,681","57839,992","59885,714","62769,664","65051,88","63078,471","69227,11","75179,586",78421.938,65868.995
188,Uruguay,4139.894,"4588,983","3727,408","2032,97","1920,896","1865,107","2302,543","2864,701","2946,361","3088,005","3573,099","4281,106","4890,205","5659,542","6529,958","7176,409","7580,578","7925,923","8329,081","7814,547","7405,972","6776,82","4425,116","3926,713","4456,8","5637,982","6347,279","7587,881","9808,916","10181,702","12899,687","15331,08","16213,752","18049,695","17908,776","16565,8","16448,817","18431,369","18338,79","17341,404","15208,006","16735,29","20017,557",20463.909,16324.015
190,Vanuatu,1053.849,"956,137","930,89","931,689","1111,403","976,747","918,675","989,126","1092,048","1054,904","1141,043","1333,385","1357,696","1277,011","1422,849","1479,565","1511,705","1537,62","1441,112","1435,664","1422,228","1317,091","1313,463","1542,059","1743,287","1824,505","1985,275","2308,554","2540,715","2519,625","2719,254","3007,564","2934,853","2940,193","2947,953","2771,657","2844,132","3158,901","3256,353","3187,38","3294,916","2970,155","3049,75",3114.428,2060.5789999999997
191,Venezuela,4671.078,"5085,58","5041,589","4883,234","3447,45","3472,186","3488,564","2619,24","3292,792","2378,158","2492,939","2685,293","2968,496","2876,077","2741,979","3559,77","3174,631","3778,537","3970,433","4133,37","4820,646","4963,916","3778,255","3266,095","4311,999","5421,656","6646,803","8538,102","11079,069","9557,55","11158,18","10934,275","12693,485","8694,81","7113,389","4096,879","3676,297","3806,635","3531,883","2675,272","1608,284","2157,322","3051,738",3266.882,-1404.1960000000004
192,Vietnam,652.593,"318,521","414,347","612,565","1044,409","318,956","705,99","856,91","464,581","123,364","121,715","141,111","178,973","234,983","285,953","358,661","419,063","449,338","448,119","465,248","498,579","513,197","546,555","610,357","756,981","873,136","996,255","1152,267","1446,562","1481,442","1628,013","1949,826","2197,619","2369,973","2566,854","2581,907","2720,168","2957,899","3201,686","3398,214","3514,365","3717,8","4162,938",4682.834,4030.241
195,Zambia,718.795,"718,743","672,013","562,441","448,532","412,851","276,151","332,268","543,316","561,832","509,752","446,778","424,949","405,587","405,544","410,542","378,71","440,701","352,627","330,283","340,164","356,323","376,468","429,01","530,54","691,554","1030,685","1103,688","1365,933","1135,008","1456,052","1635,168","1724,628","1839,334","1726,647","1310,458","1254,12","1500,962","1480,42","1272,238","959,148","1095,465","1348,36",1395.03,676.235
